timestamp,AKBNK.E_price_change,ISCTR.E_entry_price,..seconds_later,ISCTR.E_exit_price,return
2022-09-13_07:09:40.000000,0.6380510440835208,12070,5.0,12070,0.0
2022-09-13_07:09:41.000000,0.7549361207897842,12070,5.0,12070,0.0
2022-09-13_07:10:13.000000,0.9809578765147098,12100,5.0,12100,0.0
2022-09-13_07:10:15.000000,0.8720930232558155,12100,5.0,12100,0.0
2022-09-13_07:10:25.000000,0.6325474410580734,12110,5.0,12140,0.24772914946324942
2022-09-13_07:10:29.000000,0.5747126436781658,12130,5.0,12150,0.16488046166529546
2022-09-13_07:10:31.000000,0.5757052389176787,12130,5.0,12150,0.16488046166529546
2022-09-13_07:21:34.000000,0.8728859792689558,12520,5.0,12520,0.0
2022-09-13_09:36:37.000000,0.5913978494623606,12030,5.0,12010,-0.16625103906899863
2022-09-13_09:37:23.000000,1.5242242787153026,12020,5.0,12010,-0.08319467554076532
2022-09-13_09:37:25.000000,0.540540540540535,12020,5.0,12010,-0.08319467554076532
2022-09-13_09:37:49.000000,0.6077348066298338,11970,5.0,11970,0.0
2022-09-13_09:37:55.000000,0.5527915975677145,11970,5.0,11970,0.0
2022-09-13_09:37:59.000000,0.9988901220865598,11970,5.0,11970,0.0
2022-09-13_09:38:09.000000,0.6090808416389759,11970,5.0,11970,0.0
2022-09-13_09:38:12.000000,0.5524861878453136,11970,5.0,11970,0.0
2022-09-13_09:38:13.000000,0.6077348066298338,11970,5.0,11970,0.0
2022-09-13_09:38:14.000000,0.7154650522839923,11970,5.0,11970,0.0
2022-09-13_09:38:17.000000,0.6020799124247356,11970,5.0,11970,0.0
2022-09-13_09:38:26.000000,1.1475409836065653,11970,5.0,11970,0.0
2022-09-13_09:38:52.000000,3.0303030303030276,11970,5.0,11970,0.0
2022-09-13_09:38:53.000000,0.5952380952380931,11970,5.0,11970,0.0
2022-09-13_10:07:01.000000,0.6104328523862446,11810,5.0,11810,0.0
2022-09-13_10:07:23.000000,0.5081874647091977,11820,5.0,11820,0.0
2022-09-13_10:07:34.000000,0.5656108597285048,11810,5.0,11820,0.08467400508043177
2022-09-13_10:23:25.000000,0.5184331797235098,11620,0.123744,11580,-0.344234079173833
2022-09-13_10:25:31.000000,0.5621135469364713,11570,5.0,11580,0.08643042350906516
2022-09-13_12:33:22.000000,0.5509641873278293,11980,5.0,11980,0.0
2022-09-13_13:01:45.000000,0.5050505050504972,11850,5.0,11850,0.0
2022-09-13_13:02:23.000000,0.5084745762711895,11820,0.321323,11780,-0.33840947546531774
2022-09-13_13:02:31.000000,0.5698005698005604,11800,5.0,11780,-0.16949152542372614
2022-09-13_13:03:32.000000,0.627495721620086,11760,5.0,11780,0.1700680272108901
2022-09-13_13:05:15.000000,0.5552470849528035,11830,5.0,11830,0.0
2022-09-13_13:21:41.000000,0.5050505050504972,11650,5.0,11640,-0.08583690987123971
2022-09-13_13:39:06.000000,0.5016722408026864,11710,5.0,11710,0.0
2022-09-13_14:15:49.000000,0.6857142857142895,11590,5.0,11590,0.0
2022-09-13_14:17:21.000000,0.6936416184971206,11530,5.0,11540,0.08673026886383273
2022-09-13_14:17:28.000000,0.5810575246949501,11540,5.0,11540,0.0
2022-09-13_14:17:56.000000,0.7584597432905404,11540,5.0,11550,0.08665511265164572
2022-09-13_14:18:15.000000,0.5780346820809301,11570,5.0,11580,0.08643042350906516
2022-09-13_14:18:50.000000,0.5813953488372103,11590,5.0,11570,-0.17256255392580355
