timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-01-20_12:18:20.000000,0.4901960784313708,7840,5.0,7840,0.0
2022-01-20_14:02:21.000000,0.49261083743843415,7870,5.0,7880,0.12706480304955914
2022-01-20_14:16:03.000000,0.5025125628140614,7750,5.0,7760,0.1290322580645098
2022-01-20_14:28:42.000000,0.5025125628140614,7760,0.112697,7740,-0.2577319587628857
2022-01-20_14:28:51.000000,0.5050505050504972,7730,5.0,7720,-0.1293661060802087
2022-01-20_14:29:00.000000,0.7575757575757569,7720,0.492735,7740,0.2590673575129543
2022-01-20_14:29:58.000000,0.5063291139240533,7690,5.0,7690,0.0
2022-01-20_14:30:06.000000,0.50761421319796,7690,5.0,7700,0.13003901170351995
2022-01-20_14:30:12.000000,0.5050505050504972,7690,0.325764,7710,0.2600780234070177
2022-01-20_14:30:35.000000,0.50761421319796,7700,0.186697,7680,-0.2597402597402598
2022-01-20_14:31:35.000000,0.50761421319796,7720,5.0,7720,0.0
2022-01-20_14:31:42.000000,0.5063291139240533,7720,5.0,7720,0.0
2022-01-20_14:31:47.000000,0.5063291139240533,7720,5.0,7720,0.0
2022-01-20_14:44:32.000000,0.5025125628140614,7760,5.0,7750,-0.12886597938144284
2022-01-20_14:58:58.000000,0.4975124378109541,7840,5.0,7840,0.0
2022-01-21_07:00:05.000000,0.5025125628140614,7800,0.152317,7780,-0.2564102564102555
2022-01-24_07:18:19.000000,0.49382716049382047,7950,0.602678,7930,-0.2515723270440251
2022-01-24_07:18:41.000000,0.496277915632759,7930,0.954234,7910,-0.2522068095838548
2022-01-24_08:29:29.000000,0.4889975550122161,7970,5.0,7980,0.12547051442910462
2022-01-24_10:42:42.000000,0.5050505050504972,7830,5.0,7820,-0.12771392081737387
2022-01-24_10:46:01.000000,0.5089058524172962,7750,0.237041,7770,0.2580645161290418
2022-01-24_10:48:51.000000,0.5102040816326481,7760,5.0,7770,0.12886597938144284
2022-01-24_11:00:53.000000,0.5089058524172962,7720,5.0,7720,0.0
2022-01-24_11:14:59.000000,0.5050505050504972,7780,0.737311,7760,-0.25706940874036244
2022-01-24_12:42:02.000000,0.512820512820511,7690,5.0,7680,-0.13003901170350884
2022-01-24_12:50:45.000000,0.5154639175257714,7650,5.0,7660,0.13071895424836555
2022-01-24_13:10:03.000000,0.5154639175257714,7640,5.0,7640,0.0
2022-01-24_13:12:40.000000,0.5154639175257714,7630,5.0,7640,0.1310615989515096
2022-01-24_13:17:37.000000,0.512820512820511,7660,5.0,7660,0.0
2022-01-24_13:18:30.000000,0.512820512820511,7670,5.0,7670,0.0
2022-01-24_13:18:31.000000,0.512820512820511,7670,5.0,7670,0.0
2022-01-24_13:18:32.000000,0.512820512820511,7670,5.0,7670,0.0
2022-01-24_13:18:33.000000,0.512820512820511,7670,5.0,7670,0.0
2022-01-24_13:18:35.000000,0.512820512820511,7670,5.0,7670,0.0
2022-01-24_13:18:44.000000,0.512820512820511,7670,5.0,7670,0.0
2022-01-24_13:28:09.000000,0.5154639175257714,7690,5.0,7690,0.0
2022-01-24_13:31:13.000000,0.5141388174807249,7690,5.0,7690,0.0
2022-01-24_13:43:08.000000,0.5167958656330685,7640,5.0,7640,0.0
2022-01-24_13:44:56.000000,0.5141388174807249,7660,5.0,7670,0.13054830287206887
2022-01-24_13:55:11.000000,0.5115089514066584,7700,5.0,7700,0.0
2022-01-24_14:25:57.000000,0.5141388174807249,7670,5.0,7670,0.0
2022-01-24_14:46:47.000000,0.5208333333333259,7580,5.0,7570,-0.13192612137202797
2022-01-25_07:00:05.000000,0.5141388174807249,7660,5.0,7660,0.0
2022-01-25_07:08:31.000000,0.5208333333333259,7590,5.0,7590,0.0
2022-01-25_07:10:11.000000,0.5154639175257714,7620,5.0,7620,0.0
2022-01-25_07:12:25.000000,0.5141388174807249,7650,5.0,7650,0.0
2022-01-25_07:29:52.000000,0.5154639175257714,7630,5.0,7630,0.0
2022-01-25_08:10:47.000000,0.512820512820511,7650,5.0,7650,0.0
2022-01-26_07:00:01.000000,0.5050505050504972,7730,0.49493,7710,-0.2587322121604174
2022-01-26_09:54:35.000000,0.5037783375314797,7760,5.0,7760,0.0
2022-01-27_07:00:00.000000,0.5194805194805197,7720,0.082072,7590,-1.6839378238341918
2022-01-27_07:00:01.000000,0.5194805194805197,7580,5.0,7580,0.0
2022-01-27_09:57:05.000000,0.50761421319796,7670,5.0,7670,0.0
2022-01-28_08:39:53.000000,0.4987531172069737,7800,0.50452,7820,0.2564102564102555
2022-01-28_09:11:47.000000,0.49261083743843415,7880,5.0,7890,0.12690355329949554
2022-01-28_14:53:32.000000,0.5012531328320913,7750,5.0,7750,0.0
2022-01-31_10:23:23.000000,0.4975124378109541,7940,5.0,7940,0.0
2022-01-31_10:25:10.000000,0.4975124378109541,7950,5.0,7950,0.0
2022-02-01_07:00:01.000000,0.4889975550122161,8100,0.394895,8080,-0.24691358024691024
2022-02-01_07:00:02.000000,0.4889975550122161,8090,5.0,8100,0.12360939431397266
2022-02-01_14:32:35.000000,0.4878048780487809,7980,5.0,7980,0.0
2022-02-02_07:00:09.000000,0.47961630695443347,8120,5.0,8120,0.0
2022-02-02_10:02:26.000000,0.4773269689737569,8150,5.0,8150,0.0
2022-02-02_14:35:12.000000,0.4587155963302836,8150,5.0,8160,0.12269938650306678
2022-02-02_14:35:35.000000,0.4587155963302836,8160,5.0,8160,0.0
2022-02-02_14:37:46.000000,0.4618937644341736,8140,5.0,8140,0.0
2022-02-03_07:02:37.000000,0.46403712296982924,8080,5.0,8080,0.0
2022-02-03_07:08:11.000000,0.46511627906977715,8060,5.0,8060,0.0
2022-02-03_07:10:32.000000,0.4629629629629539,8100,0.003829,8120,0.24691358024691024
2022-02-03_08:01:30.000000,0.47281323877068626,7990,5.0,8000,0.12515644555695093
2022-02-03_08:01:35.000000,0.4739336492890933,8000,5.0,7990,-0.12499999999999734
2022-02-03_08:12:32.000000,0.4773269689737569,7940,5.0,7930,-0.12594458438287548
2022-02-04_14:56:47.000000,0.4950495049504955,7800,5.0,7800,0.0
2022-02-07_07:00:09.000000,0.4987531172069737,7800,5.0,7800,0.0
2022-02-07_07:07:25.000000,0.5025125628140614,7710,5.0,7710,0.0
2022-02-07_07:26:06.000000,0.5063291139240533,7720,5.0,7720,0.0
2022-02-07_11:02:15.000000,0.50761421319796,7580,5.0,7580,0.0
2022-02-07_13:10:01.000000,0.5012531328320913,7680,5.0,7680,0.0
2022-02-07_13:34:35.000000,0.5037783375314797,7680,5.0,7680,0.0
2022-02-08_07:09:10.000000,0.49140049140048436,7880,5.0,7880,0.0
2022-02-08_07:28:29.000000,0.4878048780487809,7960,5.0,7960,0.0
2022-02-08_13:27:02.000000,0.49140049140048436,7900,5.0,7900,0.0
2022-02-10_07:00:36.000000,0.4878048780487809,8120,5.0,8120,0.0
2022-02-10_07:03:50.000000,0.4878048780487809,8120,5.0,8120,0.0
2022-02-10_07:19:56.000000,0.4842615012106588,8140,5.0,8150,0.12285012285011554
2022-02-10_13:33:57.000000,0.4901960784313708,8030,5.0,8020,-0.12453300124533051
2022-02-11_09:04:37.000000,0.49261083743843415,7970,5.0,7970,0.0
2022-02-14_07:00:00.000000,0.7518796992481258,8090,0.076814,7970,-1.4833127317676165
2022-02-14_07:00:03.000000,0.5012531328320913,7970,5.0,7970,0.0
