timestamp,YKBNK.E_price_change,ISCTR.E_entry_price,..seconds_later,ISCTR.E_exit_price,return
2022-01-27_07:00:01.000000,0.5194805194805197,7890,0.335346,7910,0.25348542458809575
2022-01-27_09:57:05.000000,0.50761421319796,8090,5,8090,0.0
2022-01-28_08:39:53.000000,0.4987531172069737,8170,5,8170,0.0
2022-01-28_09:11:47.000000,0.49261083743843415,8250,5,8250,0.0
2022-01-28_14:53:32.000000,0.5012531328320913,8130,5,8130,0.0
2022-01-31_10:23:23.000000,0.4975124378109541,8210,5,8210,0.0
2022-01-31_10:25:10.000000,0.4975124378109541,8210,5,8220,0.12180267965895553
2022-02-01_07:00:01.000000,0.4889975550122161,8380,0.23796,8360,-0.23866348448687846
2022-02-01_07:00:02.000000,0.4889975550122161,8380,5,8370,-0.11933174224343368
2022-02-01_14:32:35.000000,0.4878048780487809,8390,5,8390,0.0
2022-02-02_07:00:09.000000,0.47961630695443347,8530,0.846669,8510,-0.23446658851113966
2022-02-02_10:02:26.000000,0.4773269689737569,8560,5,8560,0.0
2022-02-02_14:35:12.000000,0.4587155963302836,8650,5,8650,0.0
2022-02-02_14:35:35.000000,0.4587155963302836,8670,5,8670,0.0
2022-02-02_14:37:46.000000,0.4618937644341736,8640,5,8630,-0.11574074074074403
2022-02-03_07:02:37.000000,0.46403712296982924,8580,5,8590,0.11655011655011815
2022-02-03_07:08:11.000000,0.46511627906977715,8600,5,8600,0.0
2022-02-03_07:10:32.000000,0.4629629629629539,8700,0.620299,8680,-0.22988505747126853
2022-02-03_08:01:30.000000,0.47281323877068626,8520,5,8520,0.0
2022-02-03_08:01:35.000000,0.4739336492890933,8520,5,8520,0.0
2022-02-03_08:12:32.000000,0.4773269689737569,8470,5,8470,0.0
2022-02-04_14:56:47.000000,0.4950495049504955,8190,5,8200,0.12210012210012167
2022-02-07_07:00:09.000000,0.4987531172069737,8190,5,8200,0.12210012210012167
2022-02-07_07:07:25.000000,0.5025125628140614,8130,5,8130,0.0
2022-02-07_07:26:06.000000,0.5063291139240533,8060,5,8060,0.0
2022-02-07_11:02:15.000000,0.50761421319796,7930,5,7930,0.0
2022-02-07_13:10:01.000000,0.5012531328320913,8130,5,8130,0.0
2022-02-07_13:34:35.000000,0.5037783375314797,8120,5,8120,0.0
2022-02-08_07:09:10.000000,0.49140049140048436,8360,5,8360,0.0
2022-02-08_07:28:29.000000,0.4878048780487809,8400,5,8400,0.0
2022-02-08_13:27:02.000000,0.49140049140048436,8490,5,8500,0.11778563015312216
2022-02-10_07:00:36.000000,0.4878048780487809,8650,5,8640,-0.11560693641619046
2022-02-10_07:03:50.000000,0.4878048780487809,8650,0.20846,8670,0.23121387283238093
2022-02-10_07:19:56.000000,0.4842615012106588,8760,5,8760,0.0
2022-02-10_13:33:57.000000,0.4901960784313708,8670,5,8680,0.11534025374855261
2022-02-11_09:04:37.000000,0.49261083743843415,8680,5,8690,0.11520737327188613
2022-02-14_07:00:00.000000,0.7518796992481258,8810,0.203273,8710,-1.1350737797956922
2022-02-14_07:00:03.000000,0.5012531328320913,8700,0.111028,8720,0.22988505747125743
2022-02-14_07:00:04.000000,0.5012531328320913,8700,0.003277,8720,0.22988505747125743
2022-02-14_07:00:20.000000,0.49999999999998934,8700,5,8710,0.11494252873562871
2022-02-14_07:18:12.000000,0.49999999999998934,8680,5,8690,0.11520737327188613
2022-02-16_07:04:04.000000,0.4889975550122161,8760,0.314252,8740,-0.22831050228310223
2022-02-16_08:20:20.000000,0.4901960784313708,8740,5,8740,0.0
2022-02-17_08:35:23.000000,0.4975124378109541,8620,5,8620,0.0
2022-02-17_08:53:05.000000,0.496277915632759,8660,5,8650,-0.11547344110854896
2022-02-17_14:25:01.000000,0.4987531172069737,8650,5,8650,0.0
2022-02-22_07:00:00.000000,0.5037783375314797,8530,0.139703,8390,-1.6412661195779554
2022-02-22_07:00:18.000000,0.5037783375314797,8350,5,8340,-0.11976047904191933
2022-02-22_07:03:57.000000,0.49999999999998934,8400,5,8400,0.0
2022-02-22_14:58:55.000000,0.5025125628140614,8520,5,8520,0.0
2022-02-23_13:14:12.000000,0.5089058524172962,8410,5,8400,-0.11890606420927874
2022-02-24_07:30:00.000000,0.8426966292134797,7800,0.169115,7780,-0.2564102564102555
2022-02-24_07:32:26.000000,0.5494505494505475,7840,0.57428,7860,0.25510204081633514
2022-02-24_07:33:18.000000,0.5420054200542035,7900,0.902735,7940,0.5063291139240533
2022-02-24_07:33:19.000000,0.5420054200542035,7900,0.902735,7940,0.5063291139240533
2022-02-24_07:33:37.000000,0.5434782608695565,7910,0.93572,7890,-0.25284450063211006
2022-02-24_07:33:57.000000,0.8196721311475308,7870,0.104602,7850,-0.2541296060991072
2022-02-24_07:34:31.000000,0.8287292817679592,7790,0.740641,7820,0.38510911424902705
2022-02-24_07:37:24.000000,1.3513513513513598,7960,0.386497,7940,-0.2512562814070307
2022-02-24_07:38:37.000000,0.5434782608695565,7910,0.530391,7890,-0.25284450063211006
2022-02-24_07:41:03.000000,0.8219178082191858,7890,0.36193,7870,-0.25348542458808465
2022-02-24_07:50:42.000000,0.5434782608695565,7930,5,7930,0.0
2022-02-24_08:27:06.000000,0.5420054200542035,7910,5,7910,0.0
2022-02-24_08:29:07.000000,0.5449591280654031,7870,5,7870,0.0
