timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-02-25_12:26:57.000000,0.5464480874316946,7160,1,7160,0.0
2022-02-25_12:28:48.000000,0.5464480874316946,7170,1,7170,0.0
2022-02-25_13:27:24.000000,0.5434782608695565,7230,1,7220,-0.13831258644536604
2022-02-25_13:48:34.000000,0.5449591280654031,7210,1,7220,0.1386962552011095
2022-02-28_07:00:01.000000,0.5602240896358524,6960,0.739025,6990,0.4310344827586299
2022-02-28_07:00:04.000000,0.5602240896358524,7000,0.30328,6970,-0.4285714285714337
2022-02-28_07:03:19.000000,0.5602240896358524,6980,1,6980,0.0
2022-02-28_11:54:12.000000,0.5602240896358524,6950,1,6950,0.0
2022-02-28_14:30:40.000000,0.56657223796035,6910,1,6910,0.0
2022-02-28_14:39:19.000000,0.5649717514124353,6950,1,6950,0.0
2022-02-28_14:45:47.000000,0.561797752808979,6980,1,6980,0.0
2022-02-28_14:49:28.000000,0.5586592178770999,7000,1,7000,0.0
2022-03-01_08:12:32.000000,0.5390835579514919,7190,1,7190,0.0
2022-03-01_08:28:47.000000,0.5347593582887722,7220,1,7230,0.13850415512466352
2022-03-01_08:29:58.000000,0.5333333333333412,7260,1,7250,-0.13774104683195176
2022-03-01_09:19:20.000000,0.5333333333333412,7280,1,7280,0.0
2022-03-01_10:10:16.000000,0.5449591280654031,7190,1,7190,0.0
2022-03-01_11:41:34.000000,0.5479452054794498,7170,1,7170,0.0
2022-03-01_13:55:58.000000,0.5464480874316946,7120,1,7120,0.0
2022-03-01_14:36:55.000000,0.5464480874316946,7120,1,7120,0.0
2022-03-02_10:51:29.000000,0.5420054200542035,7110,1,7100,-0.14064697609000865
2022-03-03_14:33:30.000000,0.5494505494505475,7140,1,7140,0.0
2022-03-04_08:11:51.000000,0.5494505494505475,7100,1,7100,0.0
2022-03-04_11:43:26.000000,0.5509641873278293,7040,1,7030,-0.14204545454545858
2022-03-04_14:45:50.000000,0.5509641873278293,7030,1,7030,0.0
2022-03-07_09:50:11.000000,0.5586592178770999,6910,1,6910,0.0
2022-03-07_14:15:33.000000,0.5509641873278293,6970,1,6970,0.0
2022-03-07_14:29:44.000000,0.5494505494505475,6970,1,6970,0.0
2022-03-07_14:54:45.000000,0.5494505494505475,6950,1,6950,0.0
2022-03-08_07:43:48.000000,0.5494505494505475,6890,1,6890,0.0
2022-03-08_09:46:29.000000,0.5449591280654031,6950,1,6950,0.0
2022-03-08_14:40:21.000000,0.5524861878453136,6910,1,6910,0.0
2022-03-09_08:10:52.000000,0.5479452054794498,7000,1,6990,-0.14285714285714457
2022-03-09_14:22:53.000000,0.5376344086021501,7110,1,7110,0.0
2022-03-10_07:00:55.000000,0.5333333333333412,7210,1,7210,0.0
2022-03-10_08:29:23.000000,0.536193029490617,7150,1,7140,-0.13986013986013734
2022-03-10_12:55:45.000000,0.5464480874316946,7040,1,7040,0.0
2022-03-10_14:04:24.000000,0.5420054200542035,7060,1,7060,0.0
2022-03-10_14:04:34.000000,0.5420054200542035,7060,1,7060,0.0
2022-03-11_07:00:01.000000,0.5434782608695565,7120,1,7130,0.1404494382022392
2022-03-15_11:15:53.000000,0.5221932114882533,7200,1,7200,0.0
2022-03-16_12:51:16.000000,0.5249343832020914,7250,1,7250,0.0
2022-03-16_13:05:07.000000,0.5291005291005346,7210,1,7210,0.0
2022-03-21_07:47:43.000000,0.5037783375314797,7450,1,7450,0.0
2022-03-21_12:41:15.000000,0.5025125628140614,7480,1,7470,-0.13368983957219305
2022-03-24_10:31:12.000000,0.5089058524172962,7460,1,7460,0.0
2022-03-24_10:31:14.000000,0.5102040816326481,7450,1,7460,0.13422818791946067
2022-03-24_10:31:15.000000,0.5102040816326481,7460,1,7450,-0.13404825737265424
2022-03-24_10:31:22.000000,0.5089058524172962,7460,1,7470,0.13404825737264314
2022-03-24_10:41:42.000000,0.5102040816326481,7450,1,7450,0.0
2022-03-24_14:46:02.000000,0.5102040816326481,7440,1,7440,0.0
2022-03-28_14:44:02.000000,0.5154639175257714,7240,1,7240,0.0
2022-03-29_12:36:08.000000,0.50761421319796,7320,1,7320,0.0
2022-03-29_13:24:52.000000,0.5050505050504972,7350,1,7350,0.0
2022-03-29_13:28:17.000000,0.5050505050504972,7330,1,7330,0.0
2022-03-29_13:49:50.000000,0.5050505050504972,7300,1,7310,0.136986301369868
2022-04-11_07:00:00.000000,0.6289308176100628,8480,0.084649,8650,2.004716981132071
2022-04-11_07:00:01.000000,0.6289308176100628,8680,0.661212,8710,0.3456221198156584
2022-04-11_07:00:02.000000,0.6276150627614996,8700,0.103626,8670,-0.34482758620689724
2022-04-11_07:00:03.000000,0.6289308176100628,8680,0.185026,8720,0.4608294930875667
2022-04-11_07:01:15.000000,0.6198347107438051,8780,0.997877,8810,0.3416856492027387
2022-04-11_07:01:16.000000,5.084745762711873,8810,0.037166,8780,-0.34052213393870323
