timestamp,AKBNK.E_price_change,YKBNK.E_entry_price,..seconds_later,YKBNK.E_exit_price,return
2022-04-11_12:15:58.000000,0.45977011494253706,4940,0.812051,4930,-0.2024291497975672
2022-04-11_12:25:59.000000,0.4555808656036442,4940,0.791289,4950,0.2024291497975783
2022-04-11_13:51:39.000000,0.33482142857141906,4960,5.0,4960,0.0
2022-04-11_14:30:53.000000,0.33222591362125353,4970,0.1812,4960,-0.2012072434607659
2022-04-12_07:00:00.000000,0.7743362831858391,5000,0.272401,4980,-0.40000000000000036
2022-04-12_07:00:01.000000,0.5543237250554389,4960,0.197454,4950,-0.20161290322581182
2022-04-12_07:00:02.000000,0.4439511653718142,4960,0.162476,4950,-0.20161290322581182
2022-04-12_07:00:04.000000,0.33333333333334103,4960,0.032423,4970,0.20161290322580072
2022-04-12_07:00:14.000000,0.4459308807134965,4960,0.319572,4940,-0.40322580645161255
2022-04-12_07:00:16.000000,0.33407572383072903,4960,0.236045,4950,-0.20161290322581182
2022-04-12_07:00:49.000000,0.33482142857141906,4930,0.191893,4940,0.20283975659229903
2022-04-12_07:02:15.000000,0.3370786516853963,4910,0.432389,4920,0.20366598778003286
2022-04-12_07:02:49.000000,0.33407572383072903,4930,0.789261,4940,0.20283975659229903
2022-04-13_07:00:15.000000,0.32573289902280145,5170,5.0,5160,-0.19342359767892114
2022-04-13_12:39:32.000000,0.3355704697986628,5000,5.0,5000,0.0
2022-04-18_07:00:00.000000,0.32017075773747017,5210,0.331141,5190,-0.38387715930902067
2022-04-19_12:07:13.000000,0.5279831045406524,5250,0.822674,5270,0.3809523809523707
2022-04-19_12:10:03.000000,0.4232804232804144,5290,0.093465,5270,-0.3780718336483968
2022-04-19_13:13:14.000000,0.3225806451612856,5150,0.542698,5170,0.3883495145631022
2022-04-19_13:15:00.000000,0.43010752688172893,5170,5.0,5170,0.0
2022-04-20_07:00:02.000000,0.31914893617022155,5240,5.0,5250,0.1908396946564972
2022-04-22_07:00:03.000000,0.31678986272438703,5310,5.0,5320,0.18832391713747842
2022-04-22_14:33:09.000000,0.3260869565217428,5170,0.486889,5150,-0.3868471953578312
2022-04-22_14:36:07.000000,0.32715376226826187,5110,5.0,5110,0.0
2022-04-25_07:00:00.000000,0.5411255411255311,5100,0.34461,5200,1.9607843137254832
2022-04-25_07:00:01.000000,0.5411255411255311,5190,5.0,5180,-0.19267822736031004
2022-04-25_07:00:02.000000,0.5411255411255311,5190,5.0,5190,0.0
2022-04-25_07:00:05.000000,0.324324324324321,5190,5.0,5190,0.0
2022-04-25_07:00:06.000000,0.324324324324321,5180,0.020438,5200,0.38610038610038533
2022-04-25_07:00:07.000000,0.324324324324321,5190,0.953026,5170,-0.3853564547206201
2022-04-25_07:00:12.000000,0.32467532467532756,5170,0.096216,5190,0.3868471953578423
2022-04-25_07:00:13.000000,0.32467532467532756,5190,0.640647,5170,-0.3853564547206201
2022-04-25_07:00:15.000000,0.32467532467532756,5180,5.0,5180,0.0
2022-04-25_07:00:19.000000,0.32467532467532756,5180,5.0,5170,-0.19305019305019266
2022-04-25_07:00:21.000000,0.3250270855904569,5180,5.0,5180,0.0
2022-04-25_07:02:57.000000,0.324324324324321,5150,0.209562,5130,-0.3883495145631022
2022-04-25_07:08:54.000000,0.4362050163576825,5110,5.0,5120,0.1956947162426559
2022-04-25_07:24:47.000000,0.5440696409140466,5160,5.0,5160,0.0
2022-04-28_07:00:01.000000,0.32573289902280145,5030,5.0,5020,-0.1988071570576566
2022-04-28_07:01:16.000000,0.3239740820734305,5020,5.0,5030,0.19920318725099584
2022-04-28_09:34:48.000000,0.32573289902280145,5060,5.0,5060,0.0
2022-04-29_07:36:42.000000,0.44642857142858094,4890,5.0,4890,0.0
2022-04-29_07:39:46.000000,0.3351955307262511,4900,0.959899,4890,-0.20408163265306367
2022-05-05_14:11:17.000000,0.33936651583710287,4880,0.93886,4870,-0.2049180327868827
2022-05-11_12:58:51.000000,0.35419126328217754,4690,0.671546,4680,-0.2132196162046962
2022-05-11_13:04:04.000000,0.35502958579882726,4680,5.0,4680,0.0
2022-05-11_13:16:44.000000,0.35842293906809264,4620,5.0,4620,0.0
2022-05-12_07:00:00.000000,0.35799522673030104,4700,0.717715,4640,-1.276595744680853
2022-05-12_07:00:02.000000,0.7159904534606243,4630,0.401411,4620,-0.2159827213822907
2022-05-12_07:00:39.000000,0.356718192627814,4640,0.606411,4650,0.21551724137931494
2022-05-17_11:21:17.000000,0.38461538461538325,4310,5.0,4310,0.0
2022-05-18_14:55:08.000000,0.49140049140048436,4400,0.06991,4410,0.2272727272727204
2022-05-20_07:24:47.000000,0.3654080389768666,4460,0.273063,4450,-0.22421524663677195
2022-05-24_07:00:01.000000,0.3667481662591676,4430,0.501159,4420,-0.22573363431150906
2022-06-02_10:31:02.000000,0.3500583430571691,4820,0.111305,4830,0.20746887966804906
2022-06-02_10:31:12.000000,0.3500583430571691,4820,5.0,4820,0.0
2022-06-02_14:46:25.000000,0.34052213393871433,4850,0.644393,4840,-0.20618556701030855
2022-06-02_14:46:27.000000,0.3416856492027387,4850,0.644393,4840,-0.20618556701030855
2022-06-02_14:46:43.000000,0.45610034207526073,4840,0.628005,4830,-0.20661157024793875
2022-06-03_07:00:02.000000,0.34052213393871433,4880,0.033576,4870,-0.2049180327868827
2022-06-06_13:35:04.000000,0.33296337402886067,4930,0.501975,4920,-0.20283975659228792
2022-06-07_07:00:00.000000,0.44296788482836025,4980,0.800079,4970,-0.20080321285140812
2022-06-07_07:00:04.000000,0.33222591362125353,4970,0.660637,4980,0.2012072434607548
2022-06-07_13:15:04.000000,0.34052213393871433,4870,0.602071,4880,0.2053388090349051
2022-06-07_13:28:30.000000,0.34052213393871433,4880,5.0,4880,0.0
2022-06-08_14:33:42.000000,0.35335689045936647,4670,5.0,4670,0.0
2022-06-08_14:51:15.000000,0.3562945368170922,4620,0.211992,4640,0.43290043290042934
2022-06-08_14:51:31.000000,0.5988023952095745,4640,0.024973,4630,-0.21551724137931494
2022-06-08_14:51:32.000000,0.359281437125758,4640,0.497631,4650,0.21551724137931494
2022-06-08_14:51:33.000000,0.4790419161676551,4640,0.497631,4650,0.21551724137931494
2022-06-08_14:51:35.000000,0.3597122302158251,4650,0.786743,4640,-0.21505376344086446
2022-06-08_14:51:40.000000,0.36057692307691624,4630,0.21697,4620,-0.2159827213822907
2022-06-08_14:51:53.000000,0.36014405762305746,4630,0.16721,4620,-0.2159827213822907
2022-06-08_14:51:55.000000,0.3597122302158251,4630,0.16721,4620,-0.2159827213822907
2022-06-08_14:51:57.000000,0.3597122302158251,4630,0.16721,4620,-0.2159827213822907
2022-06-08_14:52:17.000000,0.3588516746411585,4600,0.176412,4610,0.21739130434783593
2022-06-08_14:52:19.000000,0.359281437125758,4610,0.98145,4620,0.2169197396963085
2022-06-08_14:52:25.000000,0.35799522673030104,4620,0.759273,4630,0.21645021645022577
2022-06-08_14:56:36.000000,0.3614457831325302,4570,0.220363,4550,-0.4376367614879695
2022-06-08_14:57:18.000000,0.48192771084336616,4550,0.932588,4560,0.219780219780219
2022-06-08_14:57:28.000000,0.3610108303249149,4570,0.790574,4580,0.2188183807439792
2022-06-08_14:58:05.000000,0.3610108303249149,4580,0.749921,4590,0.21834061135370675
2022-06-09_07:00:00.000000,0.6053268765133124,4580,0.387472,4620,0.8733624454148492
2022-06-09_07:00:01.000000,0.48367593712213,4610,0.480699,4600,-0.2169197396963085
2022-06-09_07:00:02.000000,0.36231884057971175,4620,0.112505,4610,-0.21645021645021467
2022-06-09_07:00:03.000000,0.48367593712213,4600,0.173506,4610,0.21739130434783593
2022-06-09_07:00:05.000000,0.3618817852834688,4610,0.021387,4620,0.2169197396963085
2022-06-09_07:00:08.000000,0.3618817852834688,4610,0.705287,4620,0.2169197396963085
2022-06-09_07:00:09.000000,0.3618817852834688,4620,0.017002,4610,-0.21645021645021467
2022-06-10_07:00:00.000000,0.364077669902918,4640,0.30654,4570,-1.5086206896551713
2022-06-10_07:00:08.000000,0.36275695284160303,4580,0.11883,4560,-0.4366812227074246
2022-06-10_07:00:09.000000,0.6045949214026569,4580,0.11883,4560,-0.4366812227074246
2022-06-10_07:00:13.000000,0.48367593712213,4590,0.035318,4570,-0.43572984749454813
2022-06-10_07:00:14.000000,0.48367593712213,4590,0.035318,4570,-0.43572984749454813
2022-06-10_07:00:48.000000,0.36057692307691624,4600,0.060495,4590,-0.21739130434782483
2022-06-10_07:01:08.000000,0.36014405762305746,4620,0.584418,4610,-0.21645021645021467
2022-06-10_07:14:50.000000,0.47225501770955525,4720,0.918189,4730,0.21186440677967155
2022-06-10_07:39:21.000000,0.3472222222222321,4840,0.849943,4830,-0.20661157024793875
2022-06-10_12:30:42.000000,0.3512880562060783,4790,0.737453,4780,-0.20876826722338038
2022-06-10_13:32:04.000000,0.35087719298245723,4770,0.754276,4780,0.20964360587001352
2022-06-13_14:35:35.000000,0.3516998827667095,4780,5.0,4780,0.0
2022-06-20_07:55:23.000000,0.33370411568409697,4870,0.452621,4860,-0.2053388090349051
2022-06-22_14:58:02.000000,0.3311258278145601,4920,0.797248,4910,-0.20325203252032908
2022-06-27_07:00:00.000000,0.9411764705882453,4760,0.321264,4610,-3.1512605042016806
2022-06-27_07:00:01.000000,0.8254716981132004,4610,0.317208,4600,-0.2169197396963085
2022-06-27_07:00:02.000000,0.8254716981132004,4610,0.009882,4620,0.2169197396963085
2022-06-27_07:00:03.000000,0.7067137809187329,4600,0.123162,4610,0.21739130434783593
2022-06-27_07:00:04.000000,0.35377358490567,4610,0.18813,4600,-0.2169197396963085
2022-06-27_07:00:06.000000,0.35377358490567,4610,0.642013,4620,0.2169197396963085
2022-06-27_07:00:07.000000,0.47225501770955525,4610,0.980726,4600,-0.2169197396963085
2022-06-27_07:00:08.000000,0.5910165484633634,4600,0.036961,4610,0.21739130434783593
2022-06-27_07:00:09.000000,0.5910165484633634,4610,0.344563,4600,-0.2169197396963085
2022-06-27_07:00:10.000000,0.5910165484633634,4610,0.055549,4590,-0.4338394793926281
2022-06-27_07:00:11.000000,0.5910165484633634,4600,0.394333,4610,0.21739130434783593
2022-06-27_07:00:12.000000,0.5910165484633634,4590,0.040631,4610,0.43572984749455923
2022-06-27_07:00:13.000000,0.5910165484633634,4610,0.025517,4600,-0.2169197396963085
2022-06-27_07:00:17.000000,0.47281323877068626,4610,0.681906,4620,0.2169197396963085
2022-06-27_07:00:23.000000,0.35419126328217754,4620,0.323703,4610,-0.21645021645021467
2022-06-27_07:00:27.000000,0.35419126328217754,4620,0.336834,4610,-0.21645021645021467
2022-06-27_07:00:31.000000,0.35419126328217754,4620,0.188491,4610,-0.21645021645021467
2022-06-27_07:00:36.000000,0.35335689045936647,4630,0.437639,4620,-0.2159827213822907
2022-06-27_07:00:49.000000,0.35335689045936647,4620,5.0,4620,0.0
2022-06-27_07:00:59.000000,0.3529411764705781,4620,0.644712,4610,-0.21645021645021467
2022-06-27_07:01:03.000000,0.3529411764705781,4620,0.639556,4630,0.21645021645022577
2022-06-27_07:01:10.000000,0.35211267605634866,4630,5.0,4630,0.0
2022-06-27_07:01:21.000000,0.35211267605634866,4640,0.032091,4650,0.21551724137931494
2022-06-27_07:01:34.000000,0.3516998827667095,4650,0.272589,4640,-0.21505376344086446
2022-06-27_07:02:03.000000,0.3525264394829586,4620,0.343228,4630,0.21645021645022577
