timestamp,SAHOL.E_price_change,KCHOL.E_price_change,interval
2023-02-16_07:08:24.409169,0.3300330033003229,0,0
2023-02-16_07:10:24.912919,0.33670033670034627,0.38461538461538325,0.080011
2023-02-16_07:10:41.756546,0.3375120540019205,0.0,0.159701
2023-02-16_07:11:30.299272,0.4812319538017418,0,0
2023-02-16_07:12:12.378219,0.3328578221588163,0,0
2023-02-16_07:12:15.336937,0.38058991436726863,0,0
2023-02-16_07:12:43.579024,0.5205868433506788,0.19108280254778176,0.108763
2023-02-16_07:12:46.476127,0.5681818181818121,0,0
2023-02-16_07:12:50.527070,0.47303689687796524,0.0,0.206664
2023-02-16_07:13:19.355255,0.328947368421062,-0.06309148264984632,0.000437
2023-02-16_07:16:12.957857,0.4672897196261738,0.0,0.028074
2023-02-16_07:16:16.504295,0.3266448903406438,0,0
2023-02-16_07:16:33.339748,0.3266448903406438,0.0,0.000802
2023-02-16_07:51:22.055728,0.37629350893697566,0,0
2023-02-16_08:24:10.406886,0.3439803439803546,0,0
2023-02-16_09:31:20.208361,0.3917727717923647,0.0,0.117429
2023-02-17_07:01:09.144997,0.5572441742654588,0,0
2023-02-17_07:01:11.633626,0.3031834259727084,0.0,0.010365
2023-02-27_07:00:15.375071,0.34431874077718305,0,0
2023-02-27_07:00:22.322069,0.34431874077718305,0,0
2023-03-01_07:00:28.995281,0.5537609598523341,0,0
2023-03-02_07:00:05.888064,0.40431266846361336,-0.4907975460122671,0.046426
2023-03-03_12:26:58.800642,0.3274087932647385,0.0,0.030939
2023-03-03_12:36:19.987302,0.3669724770642091,0.0,0.02424
2023-03-20_14:58:09.969218,0.4388103364212581,0,0
2023-03-20_14:58:55.174734,0.43774319066147704,0.0,0.229643
2023-03-20_14:59:21.958692,0.4373177842565523,0,0
2023-03-21_09:27:27.452941,0.39196472317490905,0,0
2023-04-03_14:50:07.436745,0.317628374801493,0.0,0.135762
2023-05-09_14:20:18.714475,0.3027245206861817,0,0
2023-05-09_14:51:24.041744,0.30425963488844854,0,0
2023-05-09_14:51:24.313803,0.3039513677811634,0.0,0.108326
2023-05-09_14:51:24.414966,0.40506329113925155,0.0,0.007163
2023-05-10_07:33:07.550061,0.30991735537189147,0,0
2023-05-11_11:13:14.787637,0.5649717514124353,0,0
2023-05-11_11:14:19.319620,0.328947368421062,0,0
2023-05-11_14:04:35.048062,0.3228782287822973,0,0
2023-05-12_07:03:36.537245,0.4136029411764719,0.09940357852882276,0.094876
2023-05-12_07:06:46.807093,0.36182722749886764,0.0,0.014684
2023-05-15_07:34:30.118675,0.31282586027112647,0.0,0.214978
2023-05-15_07:35:39.354190,0.3133159268929431,0,0
2023-05-15_07:37:47.947800,0.31007751937983663,0,0
2023-05-15_07:37:48.841635,0.4132231404958775,0,0
2023-05-15_07:37:51.727936,0.3615702479338845,0,0
2023-05-15_14:03:13.788484,0.6806282722513046,0,0
2023-05-15_14:03:13.789633,0.6240249609984483,0,0
2023-05-15_14:03:13.970451,0.3123373243102634,0,0
2023-05-15_14:04:10.752609,0.9968520461699937,0,0
2023-05-15_14:04:10.754332,0.9870129870129807,0,0
2023-05-15_14:04:10.755500,0.9345794392523255,0,0
2023-05-15_14:04:22.559078,1.8334206390780539,0,0
2023-05-15_14:04:22.561676,1.8324607329842868,0,0
2023-05-15_14:04:22.562792,1.8324607329842868,0,0
2023-05-15_14:04:22.563834,1.8324607329842868,0,0
2023-05-15_14:07:21.371497,0.41950707918196883,0,0
2023-05-15_14:07:21.374109,1.676270298585636,0,0
2023-05-15_14:07:21.376648,1.0389610389610393,0,0
2023-05-15_14:07:21.433218,0.3129890453834161,0,0
2023-05-15_14:07:36.090030,1.991614255765195,0,0
2023-05-15_14:07:36.091980,1.8848167539267102,0,0
2023-05-15_14:09:56.357602,0.36687631027254586,0.0,0.046839
2023-05-15_14:09:56.358272,0.5221932114882533,0.0,0.046169
2023-05-15_14:09:56.360367,0.73260073260073,0.0,0.044074
2023-05-15_14:09:56.361516,0.7849293563579218,0.0,0.042925
2023-05-15_14:09:56.362364,0.4672897196261738,0.0,0.042077
2023-05-15_14:09:56.363206,0.8826583592938642,0.0,0.041235
