timestamp,KOZAA.E_price_change,IPEKE.E_price_change,interval
2023-03-22_08:22:16.578925,1.1299435028248483,-0.22075055187638082,0.004081
2023-03-28_07:00:12.907975,0.5641025641025532,0.0,0.0
2023-03-28_07:00:13.899608,0.5643919958953303,0.0,0.0
2023-03-28_14:02:46.608137,1.6187989556135873,0.07593014426727773,0.002538
2023-03-28_14:02:46.609143,0.7194244604316502,0.07593014426727773,0.001532
2023-03-28_14:02:46.614207,2.241918665276321,0.0,0.0
2023-03-29_09:29:26.900679,0.7190265486725744,0.08058017727639033,0.001212
2023-03-29_13:19:28.511575,0.9279475982532759,0.0,0.0
2023-03-29_13:19:32.761144,1.0348583877995532,0.15797788309637184,0.502559
2023-03-29_13:19:32.765985,0.543773790103308,0.15797788309637184,0.497718
2023-03-29_13:19:35.262436,2.22584147665581,0.15797788309637184,0.001267
2023-03-29_13:19:40.083941,2.4905251759610225,0.0,0.001049
2023-03-29_13:19:40.087220,1.8817204301075252,0.0,0.0
2023-03-31_14:44:27.052267,0.9852216748768461,0.0,0.018717
2023-03-31_14:44:27.053379,1.3550135501354976,0.0,0.017605
2023-03-31_14:44:27.101790,0.543773790103308,0.0,0.0
2023-03-31_14:44:31.662286,2.172732210755024,0.0,0.69959
2023-03-31_14:44:47.981916,0.5263157894736858,0.0,0.233133
2023-03-31_14:44:47.982344,0.732984293193728,0.0,0.232705
2023-03-31_14:44:47.984770,0.9968520461699937,0.0,0.230279
2023-04-03_07:30:56.611616,2.3704520396912843,0.3007518796992459,0.00217
2023-04-11_11:28:39.892073,0.5268199233716464,0.0,0.532071
2023-04-17_07:13:01.212291,0.6165228113440113,0.0,0.294631
2023-04-17_07:31:41.087108,0.5749486652977476,0.0,0.653161
2023-04-17_07:31:41.089376,0.5747126436781658,0.0,0.650893
2023-04-28_14:49:15.175116,0.7995431182181711,0.0,0.0
2023-04-28_14:58:17.478373,0.5096262740656776,0.08006405124099114,0.5925
2023-05-03_11:25:36.582504,0.7677543186180413,0.09416195856872811,0.001466
2023-05-03_12:21:39.988838,0.5802707930367523,0.0,0.0
2023-05-11_10:13:18.676412,0.946745562130169,0.26954177897573484,0.142774
2023-05-11_10:13:18.816724,1.0638297872340496,0.08968609865471766,0.002462
2023-05-12_14:09:18.187255,1.1111111111111072,0.0,0.000953
2023-05-15_07:30:55.948132,1.1235955056179803,-0.9499136442141731,0.146424
2023-05-15_07:31:07.254704,0.6711409395973256,1.1092150170648463,0.853385
2023-05-15_07:31:14.830804,0.7154650522839923,-0.5084745762711895,0.091712
2023-05-15_07:31:22.142103,0.6087437742114066,0.16835016835017313,0.966369
2023-05-15_07:31:41.117388,0.88740987243483,-0.25188916876575096,0.059857
2023-05-15_14:49:00.999450,0.5125284738040969,0.08904719501334757,0.236941
2023-05-15_14:49:04.542171,0.5688282138794021,0.0888888888888939,0.153416
2023-05-15_14:49:10.860014,0.5113636363636376,-0.3561887800534347,0.15513
2023-05-16_07:00:04.240707,2.824858757062154,0.620567375886516,0.640309
2023-05-16_14:54:04.177353,0.5208333333333259,-0.08340283569641116,0.455719
2023-05-16_14:54:29.951184,0.5771248688352548,0.25146689019279744,0.919169
2023-05-17_07:05:07.127691,0.5646817248460057,0.08403361344537785,0.51167
2023-05-17_08:15:47.665141,1.322482197355046,0.08291873963515162,0.06239
2023-05-18_07:00:13.980119,0.5421389847215297,0.4132231404958775,0.102377
