timestamp,KOZAL.E_price_change,KOZAA.E_price_change,interval
2023-01-03_10:33:24.376645,0.5781250000000071,0.0,0.008842
2023-01-05_14:01:41.089132,0.5317263381779513,0,0
2023-01-05_14:03:13.214790,0.5746094451427597,0,0
2023-01-05_14:03:20.702667,0.5714285714285783,0,0
2023-01-06_07:00:02.993885,0.7625272331154731,-0.7166947723440176,0.025636
2023-01-06_07:00:04.078668,0.7285974499089187,0.0,0.046362
2023-01-06_07:00:04.711911,0.5454545454545379,-0.04226542688081647,0.008238
2023-01-06_07:00:11.458661,0.5454545454545379,-0.6380263717566947,0.119006
2023-01-06_07:00:12.745396,0.6381039197812299,0.0,0.090898
2023-01-06_07:00:17.090898,1.0401459854014528,0.21141649048626032,0.257064
2023-01-06_07:00:23.198841,0.7299270072992803,0,0
