timestamp,FROTO.E_price_change,TOASO.E_price_change,interval
2022-08-19_10:09:29.739577,0.5570214013485675,0.0,0.0
2022-08-19_10:13:31.747736,0.4686584651435233,0.0,0.001002
2022-08-22_07:00:03.684712,0.300210147102975,-0.4719764011799521,0.182451
2022-08-22_07:00:03.685453,0.3000300030002956,-0.4719764011799521,0.18171
2022-08-22_07:00:06.916622,0.36079374624173877,-0.23598820058996495,0.169462
2022-08-22_07:02:49.569373,0.30211480362538623,-0.11855364552459946,0.741588
2022-08-29_07:00:08.252610,0.4448398576512469,0.3444316877152742,0.934841
2022-09-14_07:00:03.641398,0.43962485345838687,0.4444444444444473,0.886526
2022-09-19_09:07:30.562838,0.48391688015940737,0.0,0.705171
2022-09-19_09:37:31.074475,0.4274722143060794,0.0,0.7418
2022-10-04_07:37:13.664570,0.43177892918826455,0.0,0.000749
2022-10-24_08:25:50.911206,0.3478726251003428,-0.09615384615384581,0.204342
2022-11-15_07:00:17.402449,0.30135610246107003,-0.34334763948498104,0.691087
2022-11-25_08:43:23.457968,0.31652724395205833,0.07518796992480592,0.796104
2022-12-23_11:24:57.655932,0.3361344537815114,0.0,0.000971
2022-12-29_07:01:53.532789,0.40257648953301306,0.2555910543130979,0.628054
2023-01-04_14:50:02.004883,0.3702981874878164,-0.05931198102016033,0.917325
2023-01-05_07:54:24.550639,0.46530447096904126,0.2466091245376001,0.340913
2023-01-05_14:01:40.673290,0.3047541649735974,-0.4375000000000018,0.291373
2023-01-05_14:04:31.771792,0.4679552390640884,0.31328320802004317,0.390698
2023-01-06_14:55:19.333434,0.31783869686135,0.24360535931791105,0.706796
2023-01-09_07:00:00.308772,0.36057692307691624,0.24140012070006378,0.252893
2023-01-09_07:00:02.245475,0.3009630818619602,0.24125452352230514,0.159244
2023-01-09_07:00:09.067329,0.4210948466011555,-0.12048192771083599,0.727789
2023-01-09_07:00:09.924052,0.583618434292621,-0.12048192771083599,0.039475
2023-01-09_07:00:13.590903,0.5417335473515195,0.18072289156625398,0.833836
2023-01-10_12:07:58.250588,0.436408977556102,0.25756600128783447,0.639913
2023-01-12_14:25:40.057780,0.3811944091486552,0.40677966101694274,0.891615
2023-01-31_14:45:56.242199,0.3474232773595931,0.18785222291797243,0.58733
2023-02-06_07:00:25.463559,0.30781069642169534,-3.8596491228070073,0.698621
2023-02-06_07:00:32.221393,0.3260452627541266,0.0,0.0
2023-02-06_07:00:43.292790,0.3838034926117784,0.0,0.0
2023-02-06_07:01:55.297129,0.3418154196733747,0.0,0.0
2023-02-06_08:14:06.317508,0.4901960784313708,0.0,0.0
2023-02-06_08:49:04.295931,0.30143180105501877,0.0,0.0
2023-02-06_10:23:47.874815,0.3618358407922351,0.0,0.892985
2023-02-06_14:01:47.314044,0.8909548711989235,0.0,0.958487
2023-02-06_14:07:15.175063,0.48309178743961567,0.0,0.787954
2023-02-07_07:00:02.369822,0.5838041431261765,-0.5256241787122251,0.147936
2023-02-07_07:00:07.815511,0.9243538954914143,-0.5256241787122251,0.061974
2023-02-07_07:13:10.028297,0.7665772326561848,-0.33025099075296716,0.21771
2023-02-07_07:14:37.969278,0.4583651642475095,0.0,0.435429
2023-02-07_07:16:46.162143,0.3076923076922977,0.2652519893899141,0.346625
2023-02-07_07:17:22.440597,0.36651234567901536,-0.06640106241699861,0.49156
2023-02-07_07:19:33.493665,0.3279953694771409,0.5976095617529875,0.295319
2023-02-07_07:19:38.021122,0.30864197530864335,-0.4648074369189903,0.067605
2023-02-07_07:20:49.031267,0.3862495171881086,0.06657789613848664,0.939234
2023-02-07_07:29:39.768078,0.307160683432528,-0.3313452617627499,0.359284
2023-02-07_07:36:47.117135,0.558121632024644,0.0,0.252623
2023-02-07_09:46:34.136585,0.31783869686135,-0.5528680027643507,0.13755
2023-02-07_11:31:26.508095,0.5258899676375384,0.0,0.299545
2023-02-07_12:27:22.592564,0.30030030030030463,-0.07072135785006761,0.998833
2023-02-07_12:39:48.656889,0.3161430547322652,-0.0702247191011196,0.574623
2023-02-07_12:42:50.357177,0.35559067562227487,-0.07037297677692234,0.087574
2023-02-07_13:12:22.078903,0.4486054222742286,0.0,0.0
2023-02-08_07:00:01.805346,0.6365503080082213,-3.5555555555555562,0.188479
2023-02-08_07:00:12.936761,1.0309278350515427,-1.924500370096216,0.058586
2023-02-08_07:06:29.894706,0.32017075773747017,0.0,0.0
2023-02-08_07:06:30.345311,0.40580948312687326,0.0,0.0
2023-02-08_07:06:33.512056,0.36293766011956663,0.0,0.0
2023-02-15_07:00:00.544959,0.3370786516853963,1.5775034293552759,0.830938
2023-02-15_07:00:01.237977,0.3558718861210064,1.2303485987696483,0.13792
2023-02-15_07:00:01.571168,0.8094879518072196,1.2303485987696483,0.804729
2023-02-15_07:00:02.426985,0.35580524344569486,0.7482993197278853,0.948912
2023-02-15_07:00:02.687602,1.132075471698113,0.7482993197278853,0.688295
2023-02-15_07:00:03.129738,0.3745318352059934,0.7482993197278853,0.246159
2023-02-15_07:00:05.041975,0.7547169811320753,-0.7482993197278853,0.016249
