timestamp,KOZAA.E_price_change,KOZAL.E_price_change,interval
2022-10-17_14:08:37.174100,0.3597122302158251,0.0474608448030267,0.010328
2022-10-18_07:36:19.627668,0.3012048192771122,0.04854368932039055,0.010386
2022-10-18_13:15:01.305983,0.41249263406011316,0.0,0.013943
2022-10-18_14:14:01.843325,0.36496350364962904,0.09732360097323145,0.104909
2022-10-18_14:14:15.121355,0.4857316332726125,0.048709206039943,0.007968
2022-10-18_14:14:24.339926,0.5451241671714069,0.097418412079886,0.182578
2022-10-18_14:14:27.617934,0.4842615012106588,-0.04873294346978696,0.00196
2022-10-18_14:14:49.994641,0.3616636528029016,-0.048709206039943,0.001932
2022-10-19_08:34:26.669894,0.36832412523020164,0.14742014742015197,0.159769
2022-10-19_08:51:19.331357,0.3694581280788256,0.1477104874446189,0.218811
2022-10-19_12:20:45.470813,0.31152647975076775,0.0,0.002265
2022-10-19_14:42:23.862023,0.37476577139288203,0.0,0.001356
2022-10-21_13:56:14.719830,0.30543677458765295,0.0,0.006037
2022-10-24_14:54:46.148373,0.31347962382444194,0.050813008130079496,0.010254
2022-10-25_07:00:03.496994,0.31055900621117516,0.05068423720222537,0.275502
2022-10-31_14:40:37.386201,0.3144654088050425,0.051440329218110925,0.012853
2022-10-31_14:40:37.386845,0.31347962382444194,0.051440329218110925,0.012209
2022-10-31_14:40:37.390261,0.37641154328733606,0.051440329218110925,0.008793
2022-11-02_07:02:01.492412,0.3113325031133263,0.0,0.002925
2022-11-02_12:23:45.589891,0.3651856360316508,0.049382716049373165,0.004123
2022-11-07_07:00:03.361597,0.3510825043885335,-0.14727540500736325,0.051478
2022-11-07_14:36:48.993524,0.4451864218141255,0.09546539379474694,0.088979
2022-11-07_14:36:48.997230,0.33351862145636346,0.04770992366411875,0.085273
2022-11-09_07:00:16.470235,0.330760749724357,-0.14534883720929148,0.169897
2022-11-09_12:42:15.603825,0.3222341568206222,0.04612546125462025,0.120682
2022-11-09_13:30:16.554871,0.7080610021786393,0.04670714619336991,0.012579
2022-11-09_13:30:29.618240,0.4354926510615087,0.2336448598130758,0.215392
2022-11-11_07:00:08.067637,1.5706806282722585,0.39823008849557695,0.401358
2022-11-11_07:59:36.446561,0.3205128205128194,0.0895656068069961,0.038874
2022-11-16_08:57:45.887530,0.324324324324321,0.0,0.008124
2022-11-16_14:19:39.287832,0.31007751937983663,0.0,0.005373
2022-11-16_14:59:31.498560,0.31512605042016695,0.0,0.306794
2022-11-17_07:00:06.206027,0.47095761381474865,0.20202020202020332,0.383222
2022-11-17_07:02:41.445156,0.31282586027112647,0.2024291497975783,0.286406
2022-11-17_12:56:53.216923,0.30991735537189147,0.27079303675048294,0.305445
2022-11-17_13:25:10.401200,0.3613835828600864,0.0,0.003873
2022-11-17_13:25:10.402106,0.3095975232198178,0.0,0.002967
2022-11-22_10:37:46.035776,0.3004506760140302,0.0,0.39396
2022-11-24_11:18:33.589287,0.4068716094032476,0.0,0.0
2022-11-25_07:00:00.666627,0.3054101221640515,-0.7121661721068318,0.00198
2022-11-25_07:00:24.173030,0.5637467476149238,-1.6491754122938573,0.019772
2022-11-25_07:01:34.396937,0.48076923076922906,-0.09000900090008201,0.05781
2022-11-25_08:20:00.818023,0.4444444444444473,-0.060698027314121106,0.007499
2022-11-25_08:28:12.179622,0.3527336860670305,0.0302388872089443,0.12699
2022-11-28_07:00:00.729528,0.45351473922903285,-0.8638665475126706,0.031128
2022-11-28_12:05:03.891729,0.3089143865842914,0.6160164271047153,0.47062
2022-11-29_08:12:31.773188,0.3991130820399036,0.08660508083140339,0.016673
