timestamp,AKBNK.E_price_change,ISCTR.E_price_change,interval
2023-01-12_14:25:44.475465,0.7874015748031482,0.9319664492078328,0.069665
2023-01-12_14:25:44.476498,1.0895883777239712,0.9319664492078328,0.068632
2023-01-13_07:00:03.693168,0.36429872495447047,0.0,0.084403
2023-02-03_07:26:42.417658,0.32594524119948787,0.0,0.003374
2023-02-06_07:00:01.650203,0.3130870381966133,-0.29069767441860517,0.067344
2023-02-06_07:00:02.043066,0.314267756128217,0.4854368932038833,0.200471
2023-02-06_07:00:02.087631,0.3759398496240518,0.4854368932038833,0.155906
2023-02-06_07:00:02.730537,0.5025125628140614,0.4854368932038833,0.078503
2023-02-06_07:00:05.670535,0.43969849246230375,-0.4873294346978474,0.162036
2023-02-06_07:00:17.604613,0.5667506297229119,0.0,0.274346
2023-02-06_07:00:19.543320,0.37664783427495685,-0.7866273352999054,0.13718
2023-02-06_07:00:46.393369,0.37664783427495685,0.0,0.0
2023-02-06_07:17:52.483067,0.3654080389768666,0.0,0.0
2023-02-06_07:19:10.675820,0.3039513677811634,0.0,0.0
2023-02-06_08:35:04.528849,0.31172069825435855,0.0,0.0
2023-02-06_08:57:58.189586,0.621504039776255,0.0,0.0
2023-02-06_09:01:18.853348,0.30845157310301907,0.0,0.0
2023-02-06_09:42:35.880364,0.3058103975535076,0.0,0.0
2023-02-06_10:07:13.019843,0.3111387678904842,0.0,0.0
2023-02-06_10:09:47.110471,0.31152647975076775,0.0,0.0
2023-02-06_10:48:13.552358,0.6935687263556201,0.0,0.0
2023-02-06_10:56:53.537103,0.3144654088050425,0.0,0.03329
2023-02-06_11:04:16.927918,0.3146633102580232,0.0,0.0
2023-02-06_11:40:45.465199,0.38289725590299195,0.0,0.0
2023-02-06_12:01:54.927774,0.6361323155216203,0.0,0.0
2023-02-06_12:50:22.601633,0.3821656050955413,0.0,0.0
2023-02-06_12:53:17.284670,0.31746031746031633,0.0,0.0
2023-02-06_12:53:59.413758,0.4433185560481334,0.0,0.0
2023-02-06_13:08:02.844324,0.4444444444444473,0.0,0.0
2023-02-06_13:41:43.640996,0.5736137667303964,0.0,0.0
2023-02-06_14:28:41.204687,0.31486146095718315,0.0,0.0
2023-02-06_14:43:22.411275,0.6773399014778247,0.0,0.0
2023-02-06_14:44:01.901746,0.5504587155963359,0.0,0.183635
2023-02-06_14:48:24.904022,0.4889975550122161,0.0,0.0
2023-02-06_14:58:20.677094,0.309981401115933,0.0,0.0
2023-02-07_07:19:28.377835,0.319284802043418,0.0,0.0
2023-02-07_07:20:17.881572,0.3190810465858229,-0.09920634920634885,0.299025
2023-02-07_08:33:33.253281,0.31948881789136685,0.0,0.000717
2023-02-07_10:02:53.086711,0.3287310979618763,0.0,0.0
2023-02-07_10:37:50.764802,0.328947368421062,0.0,0.0
2023-02-07_11:31:41.503240,0.4701141705842904,0.0,0.0
2023-02-07_12:01:09.469213,0.47361299052774974,0.0,0.0
2023-02-07_12:09:34.602893,0.3389830508474523,0.0,0.0
2023-02-07_13:01:47.970684,0.3313452617627499,0.0,0.0
2023-02-07_14:12:11.797904,0.33670033670034627,0.0,0.0
2023-02-07_14:12:57.889138,0.5401755570560329,0.0,0.000492
2023-02-08_07:07:06.267584,0.346981263011803,0.0,0.0
2023-02-08_07:42:01.366088,0.7965242577842035,-0.10964912280702066,0.080961
2023-02-08_07:42:01.431965,0.5068790731354023,-0.10964912280702066,0.015084
2023-02-08_07:42:01.441074,0.7965242577842035,-0.10964912280702066,0.005975
2023-02-08_07:42:01.451306,0.7965242577842035,-0.10964912280702066,0.011427
2023-02-08_07:42:02.141059,0.3597122302158251,-0.10964912280702066,0.018475
2023-02-15_07:00:03.855958,0.4487179487179471,0.1941747572815622,0.05608
2023-02-15_07:00:03.913339,0.5131494547786941,-0.1941747572815622,0.015952
2023-02-15_07:00:05.906094,0.4481434058898781,0.09689922480620172,0.285532
2023-02-15_07:00:08.530389,0.6410256410256387,0.0,0.104957
2023-02-15_07:00:11.436439,0.38363171355497716,0.0,0.136314
2023-02-15_07:00:16.070160,0.38363171355497716,-1.868239921337267,0.100886
2023-02-15_07:00:25.128396,0.4481434058898781,0.0,0.0
2023-02-15_07:00:25.842136,0.6410256410256387,0.5830903790087438,0.053374
2023-02-15_07:00:27.202734,0.4481434058898781,0.0,0.0
2023-02-15_07:00:27.610188,0.4481434058898781,0.0,0.0
